,materia_aprobada,nota_final_materia,periodo,integrador,primer_parcial,recuperatorio_primer_parcial,recuperatorio_segundo_parcial,segundo_parcial,evaluacion_diagnostica,api1,api1_score,api1_time_to_submit[days],api2,api2_score,api2_time_to_submit[days],api3,api3_score,api3_time_to_submit[days],api4,api4_score,api4_time_to_submit[days],ed3,ed3_score,ed3_time_to_submit[days],ed4,ed4_score,ed4_time_to_submit[days],otros_trabajos,otros_trabajos_score,tp1,tp1_score,tp1_time_to_submit[days],tp2,tp2_score,tp2_time_to_submit[days],tp3,tp3_score,tp3_time_to_submit[days],tp4,tp4_score,tp4_time_to_submit[days],basic_lti_launch_submits,discussion_topic_submits,external_tool_submits,media_recording_submits,online_quiz_submits,online_text_entry_submits,online_upload_submits
0388b020-ac56-4115-abaf-4c493e100b06/2153af9f-5302-41d7-b3e5-422e4ca883e6,1,7.0,1-2022,7,5,-1,-1,4,-1,1,81.8,29.9,1,100.0,29.9,1,100.0,29.9,1,100.0,29.9,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,100.0,29.9,1,95.0,30.0,1,100.0,30.0,0,0.0,0.0,0,0,4,0,3,0,0
0388b020-ac56-4115-abaf-4c493e100b06/2a867880-8ae8-4b38-b296-64beb70f0ffb,1,7.0,1-2022,-1,6,-1,-1,8,-1,1,100.0,44.6,1,100.0,52.6,1,100.0,52.6,1,100.0,52.6,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,93.75,53.3,1,100.0,73.2,1,72.5,73.3,0,0.0,0.0,0,0,4,0,3,0,0
0388b020-ac56-4115-abaf-4c493e100b06/45dd5949-f353-42ac-84b3-bf3a04c9a664,1,8.0,1-2022,-1,9,-1,-1,7,-1,1,100.0,41.1,1,100.0,42.4,1,100.0,42.4,1,0.0,73.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,75.0,42.1,1,80.0,42.4,1,70.0,42.4,0,0.0,0.0,0,0,4,0,3,0,0
0388b020-ac56-4115-abaf-4c493e100b06/4867e3bf-b2f4-4802-86b3-9da0795dd164,1,8.0,1-2022,-1,9,-1,-1,7,-1,1,100.0,29.9,1,100.0,29.9,1,100.0,29.9,1,100.0,29.9,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,70.0,29.9,1,80.0,29.9,1,95.0,29.9,0,0.0,0.0,0,0,4,0,3,0,0
0388b020-ac56-4115-abaf-4c493e100b06/a8344c00-e727-4d50-b628-21b07b784305,1,5.0,1-2022,-1,5,-1,-1,5,-1,1,100.0,36.4,1,100.0,36.5,1,100.0,36.5,1,66.7,36.5,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,85.0,83.4,1,85.0,83.4,1,80.0,83.4,0,0.0,0.0,0,0,4,0,3,0,0
0388b020-ac56-4115-abaf-4c493e100b06/fe20a4c3-be1c-41cf-9843-95579eeee87b,1,8.0,1-2022,-1,8,-1,-1,7,-1,1,100.0,32.2,1,100.0,41.0,1,100.0,53.0,1,83.3,62.6,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,70.0,58.9,1,85.0,49.9,1,90.0,53.1,-1,0.0,-1.0,0,0,4,0,3,0,0
03d83df8-9039-4f6e-8c75-e8711ed3b10a/35fad3d3-0281-4940-add9-7fbcacab2c47,1,7.0,1-2022,-1,8,-1,-1,6,-1,1,100.0,44.7,1,0.0,44.7,1,92.3,74.6,1,100.0,85.7,1,74.17,88.6,0,0.0,0.0,-1,0.0,1,95.0,85.8,1,70.0,88.6,1,80.0,0.0,0,0.0,0.0,0,0,4,0,4,0,0
03d83df8-9039-4f6e-8c75-e8711ed3b10a/3dfb4eb6-2ccf-4c00-91b6-a0cabe1bfa4b,1,7.0,1-2022,-1,8,-1,-1,6,-1,1,100.0,44.7,0,0.0,0.0,1,100.0,74.4,1,100.0,74.4,1,100.0,88.7,4,100.0,89.4,0,0.0,1,85.0,85.7,1,75.0,85.7,1,85.0,0.0,4,80.0,0.0,0,0,3,0,12,0,0
03d83df8-9039-4f6e-8c75-e8711ed3b10a/4c39b825-8bdc-421e-ab0f-4e75d98f5df9,1,8.0,1-2022,-1,8,-1,-1,7,-1,1,100.0,16.4,1,100.0,16.5,1,100.0,44.1,1,100.0,44.1,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,67.0,26.2,2,90.0,40.2,0,0.0,0.0,0,0.0,0.0,0,0,4,0,0,0,3
03d83df8-9039-4f6e-8c75-e8711ed3b10a/95d2f1cb-05bf-4915-934a-090799f791bd,1,6.0,1-2022,-1,6,-1,-1,5,-1,1,100.0,16.5,1,100.0,32.2,2,100.0,40.3,2,100.0,33.4,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,2,100.0,40.3,2,60.0,40.3,1,90.0,54.4,0,0,6,0,0,0,5
